,StudentID,Name,Gender,AttendanceRate,StudyHoursPerWeek,PreviousGrade,ExtracurricularActivities,ParentalSupport,FinalGrade,Study Hours,Attendance (%),Online Classes Taken
215,5285.0,Ms. Marissa Ramirez,Female,92.0,15.0,85.0,1.0,Medium,68.0,2.0,82.0,False
216,2923.0,Paul Hickman,Male,95.0,22.0,90.0,3.0,High,78.0,0.8,97.0,False
217,7813.0,Mrs. Kathy Woodward,Female,82.0,25.0,90.0,3.0,High,72.0,2.2,95.0,False
218,2279.0,Alexis Horn,Male,85.0,12.0,70.0,3.0,Low,72.0,0.7,70.0,False
219,2904.0,Shannon Harris DDS,Male,91.0,17.0,85.0,2.0,Medium,80.0,2.3,82.0,False
220,8484.0,Alicia Ortiz,Male,82.0,17.0,82.0,1.0,Medium,85.0,2.5,76.0,True
221,,Steven Wood,Male,70.0,30.0,85.0,2.0,High,,4.9,80.0,True
222,5703.0,Alexis Walton,Female,78.0,10.0,60.0,1.0,Medium,,4.3,74.0,False
223,,Martin Mcknight,Male,95.0,20.0,65.0,2.0,Medium,72.0,0.6,64.0,True
224,1372.0,Gina Palmer,Female,85.0,12.0,60.0,2.0,Medium,92.0,1.2,72.0,True
225,5516.0,Jean Moreno,Male,90.0,15.0,60.0,3.0,High,,1.0,56.0,True
226,8314.0,David Anderson,Male,92.0,15.0,60.0,1.0,High,72.0,1.1,99.0,True
227,3295.0,Brian Huffman,Female,92.0,22.0,78.0,3.0,Low,90.0,1.2,59.0,True
228,7775.0,Jose Liu,Male,88.0,15.0,70.0,3.0,Low,68.0,3.1,77.0,False
229,1768.0,Cathy Pratt,Female,88.0,12.0,88.0,0.0,Medium,68.0,1.5,61.0,False
230,4948.0,Kathy Sandoval,Male,88.0,10.0,77.0,1.0,Low,62.0,4.8,85.0,True
231,7363.0,Michael Webb,Male,88.0,25.0,88.0,2.0,Medium,90.0,0.5,96.0,True
232,1844.0,Ronnie Taylor,Female,70.0,22.0,86.0,1.0,High,92.0,4.0,87.0,True
233,8854.0,Matthew Miller,Male,95.0,18.0,78.0,3.0,High,87.0,3.7,98.0,False
234,4974.0,Shelly Hurley,Male,70.0,25.0,70.0,1.0,Medium,62.0,2.3,91.0,False
235,6053.0,Mr. Martin Dominguez MD,Female,95.0,12.0,77.0,1.0,High,78.0,3.8,70.0,True
236,7073.0,Jennifer Wiggins,Female,70.0,18.0,86.0,3.0,Low,68.0,0.1,85.0,False
237,5836.0,Anthony Smith,Male,92.0,30.0,90.0,0.0,Low,92.0,2.5,91.0,False
238,5216.0,John Lopez,Female,85.0,17.0,65.0,1.0,High,68.0,3.6,81.0,True
239,9882.0,Nathan Rodgers,Male,82.0,15.0,85.0,1.0,High,62.0,0.7,90.0,True
240,2113.0,Martin Walker,Male,85.0,25.0,70.0,1.0,Medium,80.0,3.1,92.0,False
241,8993.0,Jesus Wood,Male,85.0,12.0,70.0,0.0,High,80.0,2.6,67.0,False
242,1280.0,Kelly Bell,Female,78.0,20.0,85.0,2.0,High,92.0,1.0,83.0,False
243,6807.0,Kathryn Randall,Female,70.0,20.0,88.0,0.0,Medium,88.0,1.2,94.0,True
244,5914.0,Sarah Norris,Male,85.0,20.0,60.0,0.0,Medium,72.0,2.4,90.0,True
245,3807.0,Matthew Adams,Male,85.0,8.0,78.0,3.0,High,72.0,4.6,64.0,True
246,8790.0,William Wade,Female,85.0,20.0,82.0,2.0,Low,80.0,0.9,70.0,True
247,4394.0,Brian Castro,Male,88.0,18.0,82.0,0.0,Low,92.0,2.8,74.0,False
248,7288.0,Teresa Sanders,Male,90.0,12.0,88.0,1.0,High,62.0,1.2,54.0,False
249,7499.0,Richard Oneal,Female,85.0,18.0,77.0,1.0,High,90.0,2.8,74.0,False
250,4043.0,Christine Cooper,Female,90.0,22.0,82.0,3.0,Low,87.0,0.4,59.0,False
251,3527.0,Michael Foster,Female,95.0,30.0,78.0,2.0,High,85.0,2.5,76.0,False
252,2674.0,Loretta Gonzalez,Male,90.0,10.0,60.0,1.0,Low,72.0,2.6,56.0,True
253,2468.0,Douglas Ingram,Female,82.0,20.0,86.0,3.0,Medium,62.0,0.1,76.0,False
254,2387.0,Randy Anderson,Male,91.0,12.0,65.0,0.0,High,68.0,1.3,67.0,False
255,3390.0,Donna Shaw,Male,78.0,8.0,82.0,0.0,Medium,78.0,3.9,73.0,False
256,5040.0,Joseph Holt,Female,91.0,22.0,90.0,1.0,High,68.0,2.5,75.0,False
257,7224.0,Taylor Acosta,Female,85.0,30.0,60.0,3.0,High,85.0,1.6,94.0,True
258,8848.0,Danielle Scott,Female,78.0,8.0,88.0,2.0,Low,78.0,4.8,100.0,True
260,1440.0,Cassandra Snyder,Female,92.0,17.0,82.0,2.0,Medium,,0.7,69.0,True
261,5139.0,Kimberly Lambert,Male,70.0,8.0,85.0,1.0,Low,78.0,2.9,84.0,False
262,9907.0,Rebecca Mendoza DDS,Male,95.0,12.0,86.0,2.0,High,92.0,3.3,72.0,True
263,1725.0,Michael Anderson,Female,95.0,8.0,85.0,1.0,High,85.0,1.1,97.0,True
264,8303.0,Hannah Gentry,Female,70.0,17.0,86.0,2.0,High,90.0,5.0,80.0,True
265,5840.0,Patrick Reed,Female,90.0,20.0,65.0,1.0,Medium,90.0,2.3,63.0,False
266,6706.0,Tiffany Huff,Female,90.0,18.0,77.0,1.0,High,85.0,0.2,95.0,True
267,1370.0,Thomas Lee,Female,90.0,10.0,90.0,2.0,High,72.0,0.8,85.0,False
268,8570.0,Justin Clark,Male,70.0,10.0,65.0,1.0,Medium,80.0,3.7,62.0,False
269,8037.0,Michael Martinez,Female,85.0,25.0,90.0,2.0,Low,87.0,2.9,84.0,True
270,6993.0,Vincent Smith,Female,88.0,17.0,85.0,2.0,Low,78.0,2.6,90.0,False
271,7367.0,Sean Hull,Female,91.0,20.0,88.0,1.0,Medium,88.0,0.9,93.0,False
272,2388.0,Sarah Welch,Male,95.0,20.0,90.0,2.0,High,68.0,1.9,59.0,False
273,7852.0,Mr. Stephen Gilmore,Male,91.0,8.0,60.0,0.0,Medium,72.0,3.5,91.0,True
274,3733.0,Barry Parker,Female,88.0,10.0,65.0,1.0,Medium,88.0,2.5,72.0,True
275,8939.0,Joshua Kane,Male,92.0,8.0,70.0,2.0,Low,78.0,2.0,81.0,False
276,8272.0,Anthony Wright,Female,78.0,20.0,86.0,1.0,High,85.0,0.2,64.0,False
277,3755.0,Nathaniel Lopez,Female,91.0,17.0,70.0,2.0,High,88.0,0.6,99.0,False
278,9880.0,Darlene Fletcher,Male,85.0,12.0,90.0,0.0,High,92.0,1.5,76.0,False
279,5305.0,Christopher Moore,Female,90.0,17.0,85.0,3.0,High,88.0,3.4,95.0,False
280,3719.0,Benjamin White,Male,92.0,25.0,78.0,3.0,Medium,72.0,2.5,84.0,True
